id,typ,herkunft,modell,variante,hit@1,hit@3,hit@5,rang_erste_erwartete,rang_alle_erwarteten,rang_veraltet,rang_aktuell,veraltet_vor_aktuell,veraltet_in_top3,top1_score,top3_distinct_artikel,top3_woerter
11,einfach,entwurf,bge-m3,contextual,1,1,1,1,1,63,72,1,0,0.6024,2,303
12,einfach,entwurf,bge-m3,contextual,1,1,1,1,1,51,75,1,0,0.6992,2,292
13,einfach,entwurf,bge-m3,contextual,0,1,1,2,5,19,15,0,0,0.7047,2,295
14,einfach,entwurf,bge-m3,contextual,1,1,1,1,1,63,75,1,0,0.5376,3,361
15,einfach,entwurf,bge-m3,contextual,1,1,1,1,1,54,35,0,0,0.6879,1,189
16,einfach,entwurf,bge-m3,contextual,1,1,1,1,1,25,22,0,0,0.5911,1,188
17,mehrquellen,entwurf,bge-m3,contextual,0,1,1,1,2,51,49,0,0,0.7214,2,241
18,einfach,entwurf,bge-m3,contextual,0,1,1,2,2,17,12,0,0,0.6616,3,230
19,mehrquellen,entwurf,bge-m3,contextual,0,0,1,1,5,15,16,1,0,0.6479,2,210
20,aehnlich,entwurf,bge-m3,contextual,0,1,1,3,3,5,1,0,0,0.6438,3,407
21,aehnlich,entwurf,bge-m3,contextual,1,1,1,1,1,51,57,1,0,0.5997,2,393
22,aehnlich,entwurf,bge-m3,contextual,0,0,1,4,4,20,53,1,0,0.6142,2,370
23,aehnlich,entwurf,bge-m3,contextual,1,1,1,1,1,4,5,1,0,0.6447,3,435
24,luecke,entwurf,bge-m3,contextual,,,,,,14,9,0,0,0.4906,2,218
25,luecke,entwurf,bge-m3,contextual,,,,,,18,9,0,0,0.5042,3,269
26,veraltet,entwurf,bge-m3,contextual,0,0,0,7,7,2,7,1,1,0.5921,3,306
27,mehrquellen,entwurf,bge-m3,contextual,0,1,1,1,3,15,18,1,0,0.5839,2,233
